id,name,category,description,address,phone,website,status,specialty,keywords,photo_url,booking_url,search_tags,member_note,hospital_affiliation,instagram_url,rating,user_ratings_total,lat,lng,created_at
12,RDU Auto,Automotive,Auto sales and service in the Raleigh-Durham area.,"4902 New Bern Ave, Raleigh, NC 27610",(919) 296-4444,http://rduauto.com/,approved,,{},,,{},,,,4.7,704,35.79609000000001,-78.5540513,2026-03-08 04:48:10.559001
13,The Light House Project,Services,Community organization and event space.,"1127 Kildaire Farm Rd, Cary, NC 27511",(919) 578-3095,http://www.lhproj.com/,approved,,{},,,{},,,,4.9,41,35.7684028,-78.78131069999999,2026-03-08 04:48:10.673929
14,Oak City Dermatology,Healthcare,"Oak City Dermatology in Cary offers award-winning medical, surgical, and cosmetic dermatology care led by board-certified dermatologist Dr. Haque, who is known for her warm, thorough approach and attentive staff. Whether you need a routine skin check, treatment for a skin condition, or cosmetic services, this highly rated practice welcomes patients from across the Triangle in a modern, welcoming environment.","115 Kildaire Park Dr Suite 406, Cary, NC 27518",(919) 283-1099,http://www.oakcitydermatology.com/,approved,Dermatology,"{""Female provider"",""Accepts insurance"",""Cash / self-pay"",""Telehealth available"",Women-owned,Urdu-speaking}",,,{},,,,4.9,235,35.7426481,-78.78025230000001,2026-03-08 04:48:10.88081
15,Anchor Auto Outlet,Automotive,Pre-owned vehicle dealership.,"316 Field St, Cary, NC 27513",(919) 651-0051,http://www.anchorautooutlet.com/,approved,,{},,,{},,,,4.9,2669,35.791216299999995,-78.77457749999999,2026-03-08 04:48:10.935742
16,Redline Rentals NC,Automotive,Vehicle rental service in North Carolina.,"745 Merritt Capital Dr, Wake Forest, NC 27587",(984) 327-7870,https://redlinerentalsnc.net/,approved,,{},,,{},,,,5.0,39,35.929149699999996,-78.5332014,2026-03-08 04:48:10.988587
17,Athens Moving Experts,Services,Professional moving and relocation services.,"6601 Hillsborough St #111, Raleigh, NC 27606",(919) 760-7774,https://athensmovingexperts.com/,approved,,{},,,{},,,,4.9,1259,35.7880987,-78.7419345,2026-03-08 04:48:11.147002
19,Triangle Family Dentistry - Apex Green Level,Healthcare,Family dentistry practice.,"3651 Green Level West Rd, Apex, NC 27523",(919) 377-9797,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.7,238,35.7777946,-78.9046998,2026-03-08 04:48:11.328223
20,Triangle Family Dentistry - Apex Kelly Rd,Healthcare,Family dentistry practice.,"1460 Kelly Rd, Apex, NC 27502",(919) 396-5428,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.4,182,35.7362709,-78.89644590000002,2026-03-08 04:48:11.381979
21,Triangle Family Dentistry - Brier Creek,Healthcare,Family dentistry practice.,"7860 Brier Creek Pkwy, Raleigh, NC 27617",(919) 626-9977,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.7,243,35.915732500000004,-78.7799934,2026-03-08 04:48:11.433302
22,Triangle Family Dentistry - Cary Park,Healthcare,Family dentistry practice.,"7535 Carpenter Fire Station Rd, Cary, NC 27519",(919) 468-1777,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.6,353,35.8223087,-78.8974875,2026-03-08 04:48:11.485517
