id,name,category,subcategory,description,status,featured,location_type,address,service_area_description,phone,website,instagram_url,booking_url,lat,lng,filter_tags,search_aliases,affiliation,community_badge,photo_url,rating,user_ratings_total,created_at
12,RDU Auto,Automotive,,"Pre-owned vehicle sales and service dealership on New Bern Ave in Raleigh, offering a selection of used cars and trucks alongside in-house automotive repair and maintenance.",approved,False,physical,"4902 New Bern Ave, Raleigh, NC 27610",,(919) 296-4444,http://rduauto.com/,,,35.79609000000001,-78.5540513,"[""Mechanic / Repair""]","[""auto sales"", ""used cars"", ""car repair"", ""auto service""]",,,,4.7,704.0,2026-03-08 04:48:10.559001
13,The Light House Project,Services,,"Community organization and event space in Cary offering meeting rooms, programming, and gathering facilities for nonprofits, faith groups, and local organizations.",approved,False,physical,"1127 Kildaire Farm Rd, Cary, NC 27511",,(919) 578-3095,http://www.lhproj.com/,,,35.7684028,-78.78131069999999,"[""Walk-ins welcome""]","[""event space"", ""community center"", ""meeting room"", ""nonprofit""]",,,,4.9,41.0,2026-03-08 04:48:10.673929
14,Oak City Dermatology,Healthcare,Dermatology,"Dermatology practice in Cary offering medical, surgical, and cosmetic skin care led by board-certified dermatologist Dr. Haque, a women-owned practice accepting patients from across the Triangle.",approved,False,physical,"115 Kildaire Park Dr Suite 406, Cary, NC 27518",,(919) 283-1099,http://www.oakcitydermatology.com/,,,35.7426481,-78.78025230000001,"[""Women-owned"", ""Urdu-speaking"", ""Accepts insurance"", ""Female provider""]","[""dermatologist"", ""skin doctor"", ""skin care"", ""cosmetic dermatology""]",,,,4.9,235.0,2026-03-08 04:48:10.88081
15,Anchor Auto Outlet,Automotive,,"Pre-owned vehicle dealership in Cary offering a selection of used cars, trucks, and SUVs with straightforward pricing for buyers across the Triangle.",approved,False,physical,"316 Field St, Cary, NC 27513",,(919) 651-0051,http://www.anchorautooutlet.com/,,,35.791216299999995,-78.77457749999999,"[""Dealership""]","[""used cars"", ""auto sales"", ""pre-owned vehicles""]",,,,4.9,2669.0,2026-03-08 04:48:10.935742
16,Redline Rentals NC,Automotive,,"Vehicle rental company in Wake Forest offering cars and trucks for personal and business use, with short- and long-term rental options available.",approved,False,physical,"745 Merritt Capital Dr, Wake Forest, NC 27587",,(984) 327-7870,https://redlinerentalsnc.net/,,,35.9291497,-78.5332014,"[""Car rental""]","[""car rental"", ""vehicle rental"", ""rent a car""]",,,,5.0,39.0,2026-03-08 04:48:10.988587
17,Athens Moving Experts,Services,,Residential and commercial moving company in Raleigh offering local and long-distance relocation services throughout the Triangle with flexible scheduling.,approved,False,physical,"6601 Hillsborough St #111, Raleigh, NC 27606",,(919) 760-7774,https://athensmovingexperts.com/,,,35.7880987,-78.7419345,"[""Walk-ins welcome""]","[""movers"", ""moving company"", ""relocation""]",,,,4.9,1259.0,2026-03-08 04:48:11.147002
19,Triangle Family Dentistry - Apex Green Level,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Apex on Green Level West Rd.",approved,False,physical,"3651 Green Level West Rd, Apex, NC 27523",,(919) 377-9797,https://www.trianglefamilydentistry.com,,,35.7777946,-78.9046998,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.7,238.0,2026-03-08 04:48:11.328223
20,Triangle Family Dentistry - Apex Kelly Rd,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Apex on Kelly Rd.",approved,False,physical,"1460 Kelly Rd, Apex, NC 27502",,(919) 396-5428,https://www.trianglefamilydentistry.com,,,35.7362709,-78.89644590000002,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.4,182.0,2026-03-08 04:48:11.381979
21,Triangle Family Dentistry - Brier Creek,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Raleigh at Brier Creek.",approved,False,physical,"7860 Brier Creek Pkwy, Raleigh, NC 27617",,(919) 626-9977,https://www.trianglefamilydentistry.com,,,35.915732500000004,-78.7799934,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.7,243.0,2026-03-08 04:48:11.433302
22,Triangle Family Dentistry - Cary Park,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Cary at Carpenter Fire Station Rd.",approved,False,physical,"7535 Carpenter Fire Station Rd, Cary, NC 27519",,(919) 468-1777,https://www.trianglefamilydentistry.com,,,35.8223087,-78.8974875,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.6,353.0,2026-03-08 04:48:11.485517
